ID,Section,Context,RU,EN
LOC_0272,FLAVOR,Тост-событие 06,> Документация найдена. Уже устарела.,> Documentation found. Already outdated.
LOC_0273,FLAVOR,Тост-событие 07,> Всё зелёное. Тесты точно запускались?,> Everything is green. Were the tests actually run?
LOC_0274,FLAVOR,Тост-событие 08,> Локально работает. Прод обиделся.,> Works locally. Prod took offense.
LOC_0275,FLAVOR,Тост-событие 09,> Задача вернулась из ревью. Комментарий: «не то».,> Task returned from review. Comment: “wrong thing.”
LOC_0276,FLAVOR,Тост-событие 10,> Что-то само починилось. Не трогайте.,> Something fixed itself. Do not touch.
LOC_0277,FLAVOR,Тост-событие 11,> Таблица сошлась. Подозрительно приятно.,> Spreadsheet matched. Suspiciously pleasant.
LOC_0278,FLAVOR,Тост-событие 12,> Кто-то закрыл ваш тикет. Вопросов нет.,> Someone closed your ticket. No questions.
LOC_0279,FLAVOR,Тост-событие 13,> Кнопку сдвинули на 2 пикселя. Срочно.,> Button moved by 2 pixels. Urgent.
LOC_0280,FLAVOR,Тост-событие 14,> Логи открылись. Страдание стало структурным.,> Logs opened. Suffering became structured.
LOC_0281,FLAVOR,Тост-событие 15,> Созвон отменили.,> Meeting canceled.
LOC_0282,FLAVOR,Тост-событие 16,> Кофе подействовал.,> Coffee kicked in.
LOC_0283,FLAVOR,Тост-событие 17,> Срочный баг. Уже третий день срочный.,> Urgent bug. Urgent for the third day.
LOC_0284,FLAVOR,Тост-событие 18,> Никто не пишет. Система напряглась.,> Nobody is writing. The system got tense.
LOC_0285,FLAVOR,Тост-событие 19,> Деплой в 18:00. Традиция сильнее здравого смысла.,> Deploy at 18:00. Tradition beats common sense.
LOC_0286,FLAVOR,Тост-событие 20,> График растёт. Смысл не проверяли.,> The chart goes up. Nobody checked why.
LOC_0287,ACTIVE_EVENTS,Активное событие 01 - заголовок,СРОЧНЫЙ БАГ,URGENT BUG
LOC_0288,ACTIVE_EVENTS,Активное событие 01 - описание,Прод снова лежит. Никто не удивлён.,Prod is down again. Nobody is surprised.
LOC_0289,ACTIVE_EVENTS,Активное событие 01 - эффект,Клики x2 · 30 сек.,Clicks x2 · 30 sec.
LOC_0290,ACTIVE_EVENTS,Активное событие 01 - кнопка,РАЗГРЕСТИ,CLEAN UP
LOC_0291,ACTIVE_EVENTS,Активное событие 02 - заголовок,МИТИНГ ОТМЕНЁН,MEETING CANCELED
LOC_0292,ACTIVE_EVENTS,Активное событие 02 - описание,Час свободы. Неожиданно и подозрительно.,One free hour. Unexpected and suspicious.
LOC_0293,ACTIVE_EVENTS,Активное событие 02 - эффект,Пассив x1.5 · 45 сек.,Passive x1.5 · 45 sec.
LOC_0294,ACTIVE_EVENTS,Активное событие 02 - кнопка,ИСПОЛЬЗОВАТЬ ТИШИНУ,USE THE SILENCE
LOC_0295,ACTIVE_EVENTS,Активное событие 03 - заголовок,КРИТИЧЕСКИЙ ФИКС,CRITICAL FIX
LOC_0296,ACTIVE_EVENTS,Активное событие 03 - описание,Нужно прямо сейчас. Как обычно.,Needed right now. As usual.
LOC_0297,ACTIVE_EVENTS,Активное событие 03 - эффект,Клики x1.5 · 40 сек.,Clicks x1.5 · 40 sec.
LOC_0298,ACTIVE_EVENTS,Активное событие 03 - кнопка,ФИКСИТЬ,FIX IT
LOC_0299,ACTIVE_EVENTS,Активное событие 04 - заголовок,ТИХИЙ ЧАС,QUIET HOUR
LOC_0300,ACTIVE_EVENTS,Активное событие 04 - описание,Все в отпуске. Или скрываются. Неважно.,Everyone's on vacation. Or hiding. Doesn't matter.
LOC_0301,ACTIVE_EVENTS,Активное событие 04 - эффект,Пассив x2 · 30 сек.,Passive x2 · 30 sec.
LOC_0302,ACTIVE_EVENTS,Активное событие 04 - кнопка,НЕ СПУГНУТЬ,DON'T SCARE IT
LOC_0303,ACTIVE_EVENTS,Активное событие 05 - заголовок,ДЕНЬ РЕЛИЗА,RELEASE DAY
LOC_0304,ACTIVE_EVENTS,Активное событие 05 - описание,Паника официально одобрена руководством.,Panic is officially approved by management.
LOC_0305,ACTIVE_EVENTS,Активное событие 05 - эффект,Клики x2.5 · 25 сек.,Clicks x2.5 · 25 sec.
LOC_0306,ACTIVE_EVENTS,Активное событие 05 - кнопка,ГОРЕТЬ,BURN
LOC_0307,ACTIVE_EVENTS,Активное событие 06 - заголовок,ОТЧЁТ ДЛЯ CEO,REPORT FOR CEO
LOC_0308,ACTIVE_EVENTS,Активное событие 06 - описание,Цифры должны расти. Любые цифры.,Numbers must go up. Any numbers.
LOC_0309,ACTIVE_EVENTS,Активное событие 06 - эффект,Пассив x2.5 · 35 сек.,Passive x2.5 · 35 sec.
LOC_0310,ACTIVE_EVENTS,Активное событие 06 - кнопка,ПОКАЗАТЬ ГРАФИК,SHOW THE CHART
LOC_0311,RANKUP,Повышение до ранга Junior - сообщение,"Теперь от вас ждут больше, платят почти так же.",Now they expect more and pay almost the same.
LOC_0312,RANKUP,Повышение до ранга Middle - сообщение,"Теперь считается, что вы уже разобрались. Сочувствуем.",Now they assume you've figured it out. Our condolences.
LOC_0313,RANKUP,Повышение до ранга Senior - сообщение,Теперь вы не просто страдаете. К вам идут за советом.,Now you don't just suffer. People come to you for advice.
LOC_0314,RANKUP,Повышение до ранга Lead - сообщение,"Теперь вы отвечаете не только за себя, но и за чужой хаос.","Now you're responsible not only for yourself, but for other people's chaos."
LOC_0315,RANKUP,Повышение до ранга CEO - сообщение,Вы добрались до вершины. Все деньги наконец-то в правильных руках.,You reached the top. All the money is finally in the right hands.
LOC_0316,RANKUP,Попап повышения - заголовок,ПОВЫШЕН,PROMOTED
LOC_0317,SYSTEM,Активный эффект - клик-множитель,Клики x{0} · {1} сек.,Clicks x{0} · {1} sec.
LOC_0318,SYSTEM,Активный эффект - пассив-множитель,Пассивный KPI x{0} · {1} сек.,Passive KPI x{0} · {1} sec.
